,Vendor,Model,Current_Price,Old_price,Time,Date
124,Ippon,Innova RT 2000,55990,,09.08.2022,15:34:58
125,Ippon,Innova RT II 1500,47990,,09.08.2022,15:34:58
126,Ippon,Innova RT 33 20K Tower,392060,,09.08.2022,15:34:58
127,Ippon,Smart Winner II 1550 1U,37790,,09.08.2022,15:34:58
128,PowerCom,Macan MRT-10K,60750,,09.08.2022,15:34:58
129,PowerCom,Imperial IMP-525AP,4440,4390,09.08.2022,15:34:58
130,PowerCom,Online ONL-M-20PM,98220,96710,09.08.2022,15:34:58
131,Tripp Lite,Omni OMNIVSX850D,8610,8399,09.08.2022,15:34:58
132,Ippon,Innova G2 Euro 3000,49990,,09.08.2022,15:34:58
133,Ippon,Back Basic 1500 Euro,10490,,09.08.2022,15:34:58
134,Ippon,Innova G2 2000,34190,,09.08.2022,15:34:58
135,Ippon,Innova G2 Euro 1000,29590,32330,09.08.2022,15:34:58
136,APC,Back-UPS BE850G2-RS,11990,11520,09.08.2022,15:34:58
137,Ippon,Back Basic 1050S Euro,5690,5990,09.08.2022,15:34:58
138,APC,Back-UPS BX500CI,6620,6399,09.08.2022,15:34:58
139,Ippon,Back Comfo Pro II 1050,11290,,09.08.2022,15:34:58
140,APC,Smart-UPS SC SC620I,25070,23999,09.08.2022,15:34:58
141,APC,Easy-UPS SMV750CAI,30490,28439,09.08.2022,15:34:58
142,PowerCom,Imperial IMP-1200AP,11730,11389,09.08.2022,15:34:58
143,APC,Back-UPS BK350EI,8780,8449,09.08.2022,15:34:58
144,APC,Easy-UPS BVX700LI-GR,4940,,09.08.2022,15:34:58
145,PowerCom,Smart King Pro+ SPT-1500-II LCD,16040,15819,09.08.2022,15:34:58
146,APC,Easy-UPS BVX1600LI-GR,14680,14290,09.08.2022,15:34:58
147,APC,Easy-UPS BVX2200LI-GR,16240,15810,09.08.2022,15:34:58
148,APC,Easy-UPS BVX900LI-GR,7990,7870,09.08.2022,15:34:58
149,Tripp Lite,SmartPro SMX1500LCDT,15940,21920,09.08.2022,15:34:58
150,APC,Back-UPS Pro BR650MI,11540,11099,09.08.2022,15:34:58
151,PowerCom,Smart King Pro+ SPT-1000-II LCD,14100,13739,09.08.2022,15:34:58
152,APC,Smart-UPS SC SC420I,15430,16790,09.08.2022,15:34:58
153,HIPER,APX-600,3920,3900,09.08.2022,15:34:58
154,APC,Easy-UPS BVX700LI,4370,,09.08.2022,15:34:58
155,Eaton,5E 650VA,7060,7590,09.08.2022,15:34:58
156,APC,Smart-UPS C SMC2000I-2U,100290,,09.08.2022,15:34:58
157,PowerCom,Smart King Pro+ SPT-2000-II LCD,18060,17599,09.08.2022,15:34:58
158,APC,Smart-UPS SMT1500RMI1U,92460,89259,09.08.2022,15:34:58
159,APC,Smart-UPS SMT1000RMI2U,68520,66900,09.08.2022,15:34:58
160,APC,Smart-UPS C SMC1000I-2URS,63580,60319,09.08.2022,15:34:58
161,APC,Smart-UPS C SMC1000I-2U,52410,50749,09.08.2022,15:34:58
162,APC,Smart-UPS SMT750RMI2U,52110,49559,09.08.2022,15:34:58
163,Tripp Lite,SmartPro SMX1000RT2U,30370,29600,09.08.2022,15:34:58
164,Eaton,5PXGen2 1000i RT2U G2,65500,62979,09.08.2022,15:34:58
165,APC,Easy-UPS SRV2KI,59390,57810,09.08.2022,15:34:58
166,APC,Smart-UPS SRT SRTL1000RMXLI,185110,182020,09.08.2022,15:34:58
167,Eaton,5E 500VA,6080,5809,09.08.2022,15:34:58
168,APC,Back-UPS Pro BR1200G-RS,31790,30249,09.08.2022,15:34:58
169,Tripp Lite,SmartOnline SU6000RT4UHVG,187680,,09.08.2022,15:34:58
170,APC,Smart-UPS SRT SRT2200RMXLI,185930,295000,09.08.2022,15:34:58
171,PowerCom,Smart King Pro+ SPR-2000 LCD,25520,27290,09.08.2022,15:34:58
172,PowerCom,Vanguard RM VRT-10K,83320,,09.08.2022,15:34:58
173,PowerCom,Smart King RT SRT-1500A LCD,25300,26640,09.08.2022,15:34:58
174,APC,Easy-UPS BVX1200LI-GR(восстановленный),6630,,09.08.2022,15:34:58
175,APC,Back-UPS BE850G2-RS(восстановленный),7790,,09.08.2022,15:34:58
176,PowerCom,Smart King Pro+ SPT-1000-II LCD(восстановленный),9160,,09.08.2022,15:34:58
177,APC,Smart-UPS SMT750RMI2U(плохая упаковка),46890,52110,09.08.2022,15:34:58
178,PowerCom,Raptor RPT-600A EURO(восстановленный),1920,2960,09.08.2022,15:34:58
179,PowerCom,RPT-800AP EURO USB(восстановленный),2580,3970,09.08.2022,15:34:58
180,APC,Back-UPS BC650-RSX761(восстановленный),3836,,09.08.2022,15:34:58
181,Eaton,5PXGen2 1000i RT2U G2(плохая упаковка),46630,65500,09.08.2022,15:34:58
182,APC,Easy-UPS BVX700LI(плохая упаковка),3700,4370,09.08.2022,15:34:58
183,PowerCom,Smart King Pro+ SPT-3000-II LCD,29910,29109,09.08.2022,15:34:58
184,PowerCom,Raptor RPT-600AP SE2(плохая упаковка),1880,2090,09.08.2022,15:34:58
185,Ippon,Back Basic 850(плохая упаковка),2960,3290,09.08.2022,15:34:58
